osm_id,disposition,disposition_rank,reason
26677871,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
128361166,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
168243635,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
175770994,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
175770998,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
203133166,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
245375073,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
317613599,INSERTED,INSERTED,matched road=70396 s=18.903 t=-3.0 dist=7.41
317613600,DUPLICATE_MERGED,DUPLICATE_MERGED,"matched to 2 roads: ['70382', '70396']"
333438883,INSERTED,INSERTED,matched road=69845 s=0.0 t=-4.4 dist=6.198
337986521,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
339417560,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
397807429,INSERTED,INSERTED,matched road=43848 s=46.32 t=-4.4 dist=5.648
710645369,INSERTED,INSERTED,matched road=42870 s=62.037 t=-7.4 dist=6.993
767516505,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
767516506,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
770850184,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
770850191,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
812643945,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
814692001,INSERTED,INSERTED,matched road=70390 s=0.0 t=-4.4 dist=3.0
814692002,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
815412593,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
815412594,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
815412596,INSERTED,INSERTED,matched road=67417 s=1.823 t=-7.4 dist=8.146
815412598,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
815412599,DUPLICATE_MERGED,DUPLICATE_MERGED,"matched to 2 roads: ['44605', '68649']"
815412609,INSERTED,INSERTED,matched road=43964 s=78.509 t=-13.4 dist=11.584
815412616,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
815412617,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
816754719,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
816754720,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
816754721,INSERTED,INSERTED,matched road=68861 s=0.0 t=-4.4 dist=21.088
